,Year/Budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires,,,,,,,,,,,,,,,,
"Project 170: 2x6 Sudipen, La Union","2020: 18,138,493.34",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 171: 2x6 Alcala, Pangasinan","2020: 16,204,711.8",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 172: 2x4 Santo Tomas, Pangasinan","2020: 26,765,713.42",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 173: 2x4 Villasis, Pangasinan","2020: 12,013,356.38",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 174: 2x4 San Quintin, Pangasinan","2020: 13,552,545.56",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 175: 2x4 Olongapo City,"2019: 11,747,123.96",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 176: 2x4 Santol, La Union","2019: 9,535,693.24",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 177: 2x6 Tulong, Negros oriental","2019: 15,860,831.98",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 178: 2x8 Capas, Tarlac","2019: 19,008,987.48",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
Project 179: 2x6 Capas Tarlac,"2019: 13,050,852.26",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 180: 2x8 Bamban, Tarlac","2019: 20,674,448.34",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 181: 1x2 Concepcion, Tarlac","2019: 4,790,554.26",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 182: 2x4 Bamban, Tarlac","2019: 10,500,982.26",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 183: 2x4 Capas, tarlac","2019: 10,220,155.8",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 184: 2x4 Concepcion, Tarlac","2019: 10,528,728.45",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
"Project 185: 2x6 Concepcion, Tarlac","2019: 13,341,965.93",quantity ,1.000,1.000,1.000,1.000,1.000,1.000,1.000,,,,,,,,,,,,,,,,
