,Year/budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",unit cost,"226,800.000","37,800.000","88,200.000","44,100.000","75,600.000","107,100.000","182,700.000"
Project 106: 2x6 Nueva Valencia Guimaras,"2023: 18,407,495.54",unit cost,"32,218.050","106,214.920","67,105.900","65,330.240","63,800.510","266,063.450","166,184.510"
Project 107: 1x4 Bulalcao Orietal mindoro,"2023: 11,370,123.47",unit cost,"28,496.320","25,026.990","55,879.190","35,324.180","44,210.730","151,622.260","55,858.710"
"Project 113: 2x6 Castillejos, Zambales","2021: 5,543,607.28",unit cost,"36,117.910",,"61,363.260","79,492.320","68,923.260","145,493.030","151,269.990"
"Project 116: 2x6 Castillejos, Zambales","2021: 4,010,862.85",unit cost,"36,761.900","314,080.580","117,615.960","117,499.590","66,187.800","338,380.250","204,105.510"
"Project 117: Basay, Negros Oriental","23,310,314.040",unit cost,"395,648.000","82,368.000","116,672.000","87,484.430","270,656.000","291,136.000","347,955.200"
"Project 118: 2x4 SIaton, Negros Oriental","12,408,080.250",unit cost,"245,700.000","31,500.000","81,900.000","44,100.000","81,900.000","119,700.000","119,700.000"
"Project 119: 2x4 Dauin, Negros Oriental","2020: 11.842,000.00",unit cost,"215,000.000","45,000.000","80,000.000","43,000.000","65,044.470","106,000.000","125,000.000"
"Project 120:  4x20 Binalonan, Pangasinan","2020: 52,921,088.86",unit cost,,"126,497.890","250,699.300","200,831.470","284,726.550","550,572.220","358,055.480"
"Project 121: 4x20 Tobias Fornier, Antique","2020: 46,778,280.56",unit cost,"173,157.080","133,292.250","281,449.350","480,870.000","386,608.950","622,296.680","811,977.080"
Project 122: 4x8 San Pedro Laguna,"2024: 38,606,000.00",unit cost,"70,051.970","252,159.010","259,437.090","495,310.730","289,309.620","299,166.840","817,641.150"
"Project 123: 2x4 Roxas City, Capiz","2024: 15,435,664.91",unit cost,"122,000.000","109,800.000","183,000.000","91,500.000","42,700.000","61,000.000","244,000.000"
Project 124: 3x6 Malolos Bulacan,"2024: 28,962,172.55",unit cost,"59,730.390","210,577.730","250,959.210","257,196.280","136,339.280","152,848.290","403,740.230"
