Project,Year,Budget,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,14296869.78,157354.34490000003,25155.532000000003,0.0,0.0,1542128.8608000001,3349717.8521999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365263.5860000001,0.0,0.0,0.0,644393.6576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,14296869.78,157354.34490000003,24234.836000000003,0.0,0.0,1510644.6432,3312304.7712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322739.5904,0.0,0.0,0.0,640128.9488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,14296869.78,157354.34490000003,25155.532000000003,0.0,0.0,1324155.2824,2931003.2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365263.5860000001,0.0,0.0,0.0,644393.6576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,14296869.78,157354.34490000003,24234.836000000003,0.0,0.0,1297121.2296,2898266.7744000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322739.5904,0.0,0.0,0.0,640128.9488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,12681800.48,157354.34490000003,25155.532000000003,0.0,0.0,1542128.8608000001,3349717.8521999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365263.5860000001,0.0,0.0,0.0,644393.6576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,12681800.48,157354.34490000003,24234.836000000003,0.0,0.0,1510644.6432,3312304.7712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322739.5904,0.0,0.0,0.0,640128.9488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,12681800.48,157354.34490000003,25155.532000000003,0.0,0.0,1324155.2824,2931003.2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1365263.5860000001,0.0,0.0,0.0,644393.6576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,12681800.48,157354.34490000003,24234.836000000003,0.0,0.0,1297121.2296,2898266.7744000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322739.5904,0.0,0.0,0.0,640128.9488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS , Palo Leyte",2018,3868683.94,92500.056,7939.555,0.0,0.0,205173.472,371421.65780000004,0.0,0.0,171413.949,59192.39280000001,71914.2948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75542.5856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Tinglayan, Kalinga",2018,3660269.09,71163.2766,7357.245,0.0,0.0,397561.34079999995,0.0,0.0,0.0,222226.9291,57584.39399999999,52749.1581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245715.3202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 8 CLS Iligan City,2017,16092682.98,142933.8884,0.0,0.0,0.0,7006033.555300001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801752.3728,0.0,0.0,0.0,0.0,739721.9079999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 6 CLS Tubod, Lanao del Norte",2017,11765881.04,286498.8525,0.0,0.0,0.0,2273143.6547999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637609.46,0.0,0.0,0.0,0.0,76501.1856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 6 CLS Baroy, Lanao del Norte",2017,11761387.11,111113.0006,0.0,0.0,0.0,2285038.9034999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1652492.32,0.0,0.0,0.0,0.0,510015.16079999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 6 CLS San Juan, Siquijor",2017,11996863.21,131932.7947,27738.9745,0.0,0.0,3048333.3786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556651.9978999998,0.0,0.0,0.0,0.0,2464540.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4 STY 8 CLS Lipa City, Batangas",2017,17061708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 STY 16 CLS Mandaue City, Cebu",2017,26186759.94,26249.978300000002,82722.38399999999,33818.33,0.0,8553386.932999998,0.0,0.0,0.0,1911756.7999999998,283776.39999999997,731844.4,724675.3119999999,752156.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777748.2000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
