Project,Year,Budget,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,14296869.78,179920.1889,402.00250000000005,0.0,4.0,397074169.9584001,1728072382.6080997,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31180.496400000004,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,14296869.78,179920.1889,402.00250000000005,0.0,4.0,292757575.2256,1323055508.8689,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31180.496400000004,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,12681800.48,179920.1889,402.00250000000005,0.0,4.0,397074169.9584001,1728072382.6080997,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31180.496400000004,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 4 CLS Guinlajon, Sorsogon CIty",2020,12681800.48,179920.1889,402.00250000000005,0.0,4.0,292757575.2256,1323055508.8689,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31180.496400000004,0.0,0.0,0.0,922598.6704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS , Palo Leyte",2018,3868683.94,35381.61,42.25,0.0,1.0,14522196.64,56736748.4644,4.0,0.0,800.89,78.85440000000001,94.47840000000001,0.0,516.1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114386.00409999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1 STY 2 CLS Tinglayan, Kalinga",2018,3660269.09,22195.040399999998,32.9476,0.0,1.0,32311493.862399995,0.0,4.0,0.0,641.6089,39.69,33.5241,0.0,77.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167632.9249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 8 CLS Iligan City,2017,16092682.98,680493.0064,0.0,0.0,4.0,2921913835.3729005,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103580.98559999999,0.0,0.0,0.0,0.0,526611.4624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 6 CLS Tubod, Lanao del Norte",2017,11765881.04,342213.3001,0.0,0.0,4.0,1472392732.9328997,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47524.0,0.0,0.0,0.0,0.0,526611.4624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 6 CLS Baroy, Lanao del Norte",2017,11761387.11,342213.3001,0.0,0.0,4.0,1472392732.9328997,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47524.0,0.0,0.0,0.0,0.0,526611.4624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2 STY 6 CLS San Juan, Siquijor",2017,11996863.21,342213.3001,402.00250000000005,0.0,4.0,1354735373.2929003,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44694.1881,0.0,0.0,0.0,0.0,1723417.5840999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4 STY 8 CLS Lipa City, Batangas",2017,17061708.0,724201.0,2209.0,0.0,16.0,6609039616.0,0.0,64.0,169.0,33124.0,484.0,5329.0,8281.0,5625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4 STY 16 CLS Mandaue City, Cebu",2017,26186759.94,3561259.6369000003,4844.159999999999,331.23999999999995,16.0,20910611809.200397,0.0,256.0,3214.8900000000003,102400.0,2256.25,15006.25,14713.689999999999,15850.810000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 STY 4 CLS Vigan Ilocos Sur,2019,10862688.3,36710.56,76269.86890000002,0.0,4.0,327804422.83689994,610322202.09,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37628.240399999995,0.0,0.0,0.0,0.0,1020786.9156000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4 STY 20 CLS Belison, Antique",2020,46481067.07,4225655.809599999,9025.0,0.0,16.0,2899176336.0,13920460225.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831744.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
